Accession	p-value	fold_change
386764048	0.53	0.9377431906614786
24660075	0.59	1.0576923076923077
24644479	0.07	1.223021582733813
24656476	0.26	1.1851851851851851
17136518	0.3	1.3082706766917294
24651794	0.95	1.0251572327044025
24645179	0.77	1.0208333333333333
24655003	0.94	1.0
62484252	0.89	1.0
17861846	0.78	1.0294117647058822
20151469	0.28	1.1991701244813278
17136306	0.75	0.9459459459459459
24583049	0.32	1.125984251968504
17136662	0.00123	0.5239234449760766
24583414	1.0	1.0
17137360	0.66	0.9376181474480151
28574590	0.04	1.5325077399380804
19921068	0.41	1.1846153846153846
28574063	0.32	0.7713458755426917
21355389	0.63	1.067357512953368
28573010	0.00564	0.8598726114649682
17647135	0.89	1.0
442614864	0.15	1.2040816326530612
24762736	0.74	1.0476787954830615
24668543	0.09	1.1534526854219949
45551086	0.09	0.8402948402948403
19922464	0.07	0.8603425559947299
17737997	0.41	0.9024390243902439
24641032	0.99	1.033603707995365
156723	0.38	1.1598360655737705
17137450	0.23	0.8975409836065574
17737993	0.43	1.3245614035087718
24650747	0.68	1.0674698795180724
17136452	0.5	1.103448275862069
17137636	0.01	1.901015228426396
24645474	0.4	1.0731707317073171
21357605	0.03	0.8685446009389671
24643719	0.69	1.042857142857143
17137782	0.17	1.4002089864158829
17137488	0.47	0.9298998569384835
28574818	0.52	0.8790697674418605
17647601	0.74	1.0295652173913044
281360498	0.04	1.315217391304348
17647193	0.33	0.7475961538461539
17136674	0.94	0.9597701149425287
45550087	0.1	1.739952718676123
24584673	0.24	0.853566958698373
386764191	0.02	1.4504504504504505
221307639	0.4	1.0764119601328903
386766392	0.66	0.9625
19921848	0.66	1.0835443037974684
17136728	0.83	0.9805194805194806
62484475	0.0031	1.2177777777777778
24583992	0.07	1.1682242990654206
17647205	0.21	0.7647058823529411
17738151	0.96	0.9907407407407407
17136226	0.37	1.10941475826972
17737419	0.94	1.0856269113149848
68051705	0.84	1.025522041763341
24666371	0.63	0.9364406779661016
17737433	0.89	1.0701754385964912
85724872	0.14	0.8428571428571429
158534	0.95	1.0171428571428571
45553375	0.62	0.9007832898172323
25013110	0.01	0.5245901639344263
25013040	0.67	0.9508867667121419
116008420	0.38	0.917910447761194
442629130	0.7	1.0252100840336134
19921734	0.77	0.9644218551461246
17136646	0.85	0.9572192513368984
17137540	0.9	1.036231884057971
24645441	0.93	1.0107719928186714
225008676	0.76	0.9289940828402367
24583944	0.53	1.1016949152542372
18860063	1.0	0.9864864864864865
24652322	0.72	0.9567901234567902
320544858	0.62	1.2185792349726776
17864482	0.72	1.041860465116279
24581952	0.53	1.0737327188940091
442623966	1.0	1.0172786177105833
442616937	0.48	1.0819672131147542
18859933	0.35	1.1123595505617978
24642256	0.28	1.1
15291801	1.0	0.9675324675324676
19528365	0.46	0.9064748201438849
24647062	0.47	1.2933333333333332
17530805	0.72	0.9603174603174603
17647739	0.78	1.0411214953271029
221330237	0.32	1.1609756097560975
17137740	0.09	0.8447098976109215
24649395	0.93	0.9825581395348837
385719272	0.56	1.0729833546734955
